id,Data As Of,Totals By,STATE,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
118209,2023-09-27,By Month,Texas,Female,30-39 years,24,189,19,0
118210,2023-09-27,By Month,Texas,Female,35-44 years,41,284,35,0
118211,2023-09-27,By Month,Texas,Female,40-49 years,71,395,60,0
118212,2023-09-27,By Month,Texas,Female,45-54 years,94,529,77,0
118213,2023-09-27,By Month,Texas,Female,50-64 years,217,1503,200,0
118214,2023-09-27,By Month,Texas,Female,55-64 years,164,1186,154,0
118215,2023-09-27,By Month,Texas,Female,65-74 years,209,1872,210,0
118216,2023-09-27,By Month,Texas,Female,75-84 years,157,2442,211,0
118217,2023-09-27,By Month,Texas,Female,85 years and over,122,2886,172,0
118218,2023-09-27,By Month,Texas,All Sexes,All Ages,2259,21619,2522,46
118219,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,172,0,0
118220,2023-09-27,By Month,Texas,All Sexes,0-17 years,0,306,15,0
118221,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,36,0,0
118222,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,46,0,0
118223,2023-09-27,By Month,Texas,All Sexes,15-24 years,21,346,19,0
118224,2023-09-27,By Month,Texas,All Sexes,18-29 years,41,527,34,0
118225,2023-09-27,By Month,Texas,All Sexes,25-34 years,50,538,46,0
118226,2023-09-27,By Month,Texas,All Sexes,30-39 years,81,677,64,0
118227,2023-09-27,By Month,Texas,All Sexes,35-44 years,143,836,100,0
118228,2023-09-27,By Month,Texas,All Sexes,40-49 years,206,1096,157,0
118229,2023-09-27,By Month,Texas,All Sexes,45-54 years,248,1477,209,0
118230,2023-09-27,By Month,Texas,All Sexes,50-64 years,565,3931,544,12
118231,2023-09-27,By Month,Texas,All Sexes,55-64 years,432,3086,428,10
118232,2023-09-27,By Month,Texas,All Sexes,65-74 years,548,4773,601,12
118233,2023-09-27,By Month,Texas,All Sexes,75-84 years,488,5175,633,0
118234,2023-09-27,By Month,Texas,All Sexes,85 years and over,322,5134,474,0
118235,2023-09-27,By Month,Texas,Male,All Ages,1309,11427,1392,26
118236,2023-09-27,By Month,Texas,Male,Under 1 year,0,94,0,0
118237,2023-09-27,By Month,Texas,Male,0-17 years,0,168,0,0
118238,2023-09-27,By Month,Texas,Male,1-4 years,0,22,0,0
118239,2023-09-27,By Month,Texas,Male,5-14 years,0,18,0,0
118240,2023-09-27,By Month,Texas,Male,15-24 years,12,243,10,0
118241,2023-09-27,By Month,Texas,Male,18-29 years,26,372,21,0
118242,2023-09-27,By Month,Texas,Male,25-34 years,34,379,28,0
118243,2023-09-27,By Month,Texas,Male,30-39 years,55,472,42,0
118244,2023-09-27,By Month,Texas,Male,35-44 years,103,565,70,0
118245,2023-09-27,By Month,Texas,Male,40-49 years,145,705,99,0
118246,2023-09-27,By Month,Texas,Male,45-54 years,162,918,134,0
118247,2023-09-27,By Month,Texas,Male,50-64 years,351,2412,315,0
118248,2023-09-27,By Month,Texas,Male,55-64 years,266,1890,236,0
118249,2023-09-27,By Month,Texas,Male,65-74 years,322,2702,339,0
118250,2023-09-27,By Month,Texas,Male,75-84 years,259,2617,356,0
118251,2023-09-27,By Month,Texas,Male,85 years and over,148,1979,216,0
118252,2023-09-27,By Month,Texas,Female,All Ages,950,10192,1130,20
118253,2023-09-27,By Month,Texas,Female,Under 1 year,0,78,0,0
118254,2023-09-27,By Month,Texas,Female,0-17 years,0,138,11,0
118255,2023-09-27,By Month,Texas,Female,1-4 years,0,14,0,0
118256,2023-09-27,By Month,Texas,Female,5-14 years,0,28,0,0
118257,2023-09-27,By Month,Texas,Female,15-24 years,0,103,0,0
